population_group,measure,location,sex,age,cause,metric,val
All Population,Prevalence,Argentina,Male,60-64 years,Alzheimer's disease and other dementias,Number,6636.336248735382
All Population,Prevalence,Argentina,Female,60-64 years,Alzheimer's disease and other dementias,Number,9196.260279069003
All Population,Prevalence,Argentina,Both,60-64 years,Alzheimer's disease and other dementias,Number,15832.596527804388
All Population,Prevalence,Argentina,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.007019647
All Population,Prevalence,Argentina,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.008551554
All Population,Prevalence,Argentina,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.007834874
All Population,Prevalence,Argentina,Male,65-69 years,Alzheimer's disease and other dementias,Number,11062.164539045967
All Population,Prevalence,Argentina,Female,65-69 years,Alzheimer's disease and other dementias,Number,15871.51323297612
All Population,Prevalence,Argentina,Both,65-69 years,Alzheimer's disease and other dementias,Number,26933.677772022063
All Population,Prevalence,Argentina,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.01377159
All Population,Prevalence,Argentina,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.016636058
All Population,Prevalence,Argentina,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.015326715
All Population,Prevalence,Argentina,Male,70-74 years,Alzheimer's disease and other dementias,Number,18256.67684303476
All Population,Prevalence,Argentina,Female,70-74 years,Alzheimer's disease and other dementias,Number,28248.01981339153
All Population,Prevalence,Argentina,Both,70-74 years,Alzheimer's disease and other dementias,Number,46504.69665642631
All Population,Prevalence,Argentina,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.028877522
All Population,Prevalence,Argentina,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.035151497
All Population,Prevalence,Argentina,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.032388979
All Population,Prevalence,Argentina,Male,75-79 years,Alzheimer's disease and other dementias,Number,25825.444847142902
All Population,Prevalence,Argentina,Female,75-79 years,Alzheimer's disease and other dementias,Number,45599.08605
All Population,Prevalence,Argentina,Both,75-79 years,Alzheimer's disease and other dementias,Number,71424.53089308934
All Population,Prevalence,Argentina,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.058844115
All Population,Prevalence,Argentina,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.073609877
All Population,Prevalence,Argentina,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.067486771
All Population,Prevalence,Argentina,Male,80-84 years,Alzheimer's disease and other dementias,Number,27922.47023986771
All Population,Prevalence,Argentina,Female,80-84 years,Alzheimer's disease and other dementias,Number,57671.61571960762
All Population,Prevalence,Argentina,Both,80-84 years,Alzheimer's disease and other dementias,Number,85594.08595947537
All Population,Prevalence,Argentina,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.106638766
All Population,Prevalence,Argentina,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1345450528568095
All Population,Prevalence,Argentina,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.1239625705912117
All Population,Prevalence,Argentina,Male,85-89 years,Alzheimer's disease and other dementias,Number,21785.776192754256
All Population,Prevalence,Argentina,Female,85-89 years,Alzheimer's disease and other dementias,Number,53473.25394531547
All Population,Prevalence,Argentina,Both,85-89 years,Alzheimer's disease and other dementias,Number,75259.03013806965
All Population,Prevalence,Argentina,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1632651687989542
All Population,Prevalence,Argentina,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.2041144186159894
All Population,Prevalence,Argentina,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1903292970621608
All Population,Prevalence,Argentina,Male,90-94 years,Alzheimer's disease and other dementias,Number,12377.167946449945
All Population,Prevalence,Argentina,Female,90-94 years,Alzheimer's disease and other dementias,Number,38269.97696381154
All Population,Prevalence,Argentina,Both,90-94 years,Alzheimer's disease and other dementias,Number,50647.14491026144
All Population,Prevalence,Argentina,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.2174175511362867
All Population,Prevalence,Argentina,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.268602229
All Population,Prevalence,Argentina,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2539896240359498
