population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Viet Nam,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,117961.49366418502,135972.1823708839,98661.3484599298
All Population,Prevalence,Viet Nam,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,285723.18498288706,329277.4546801532,240301.0071198724
All Population,Prevalence,Viet Nam,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,403684.6786470724,464023.4210378245,340546.65506076725
All Population,Prevalence,Viet Nam,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0201740952437863,0.0232538314092435,0.0168737695474822
All Population,Prevalence,Viet Nam,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0352873124232316,0.0406678437495929,0.0296777766612407
All Population,Prevalence,Viet Nam,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0289499486377799,0.0332784187935929,0.0244216870804787
All Population,Prevalence,France,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,317344.087112599,361958.8018146264,271004.29792774626
All Population,Prevalence,France,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,545325.6486266499,616216.3927941087,476784.6692521308
All Population,Prevalence,France,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,862669.735739248,978444.9216063234,752579.583734363
All Population,Prevalence,France,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0381712969483911,0.0435364508592965,0.0325986112279951
All Population,Prevalence,France,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0526323595013698,0.0594704665356705,0.0460220359390861
All Population,Prevalence,France,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0461945252545889,0.0523919404778662,0.0403015158949298
All Population,Prevalence,North Macedonia,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,6191.393259621115,7242.872548878504,5008.6975339001165
All Population,Prevalence,North Macedonia,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,9884.73534675891,11501.900237957989,8258.730127184921
All Population,Prevalence,North Macedonia,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,16076.128606380023,18647.719732359717,13399.337753787811
All Population,Prevalence,North Macedonia,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0289930128976292,0.0339166830235338,0.0234551022638384
